emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,purpose,interest_payments,interest_rate,grade,dti,installment,region
10,MORTGAGE,Medium,127000,20000, 60 months,debt_consolidation,Low,6.91,A,5.14,395.18,Northern-Irl
6.05,MORTGAGE,Low,38400,6500, 36 months,debt_consolidation,Low,9.25,B,2.87,207.46,leinster
10,MORTGAGE,Medium,106300,20000, 36 months,debt_consolidation,Low,6.54,A,9.4,613.35,leinster
2,MORTGAGE,Medium,135000,20000, 36 months,credit_card,Low,9.25,B,13.86,638.33,ulster
2,RENT,Low,85000,12000, 36 months,debt_consolidation,High,15.95,E,7.71,421.59,ulster
0.5,RENT,Low,42500,5000, 36 months,debt_consolidation,Low,12.98,C,1.55,168.43,ulster
0.5,RENT,Low,34600,8950, 36 months,debt_consolidation,Low,6.17,A,13.8,272.97,munster
3,MORTGAGE,Low,85000,21600, 60 months,debt_consolidation,Low,8.88,B,22.27,447.13,ulster
5,RENT,Medium,190000,25000, 36 months,credit_card,High,14.46,D,9.16,860.04,ulster
5,RENT,Low,36000,7000, 36 months,vacation,Low,6.91,A,21.23,215.86,ulster
5,MORTGAGE,Low,74560,12000, 60 months,debt_consolidation,Low,6.17,A,18.36,232.95,leinster
6,RENT,Low,28800,8000, 60 months,car,High,16.69,E,7.33,197.49,ulster
1,RENT,Low,35000,11400, 36 months,debt_consolidation,Low,6.91,A,9.87,351.53,cannught
10,RENT,Medium,110000,20000, 36 months,credit_card,High,13.72,C,6.75,680.84,Northern-Irl
3,MORTGAGE,Medium,108000,9050, 36 months,debt_consolidation,Low,5.42,A,24.73,272.95,leinster
2,RENT,Low,70000,2000, 36 months,vacation,High,13.72,C,14.04,68.09,Northern-Irl
5,MORTGAGE,Low,48000,17000, 36 months,debt_consolidation,Low,6.91,A,13.25,524.22,munster
0.5,MORTGAGE,Low,90000,20000, 60 months,debt_consolidation,Low,9.99,B,17.25,424.85,leinster
2,MORTGAGE,Low,65600,20000, 60 months,home_improvement,Low,6.91,A,21.95,395.18,ulster
10,RENT,Low,40000,8000, 60 months,debt_consolidation,Low,8.88,B,13.1,165.61,ulster
3,RENT,Low,40000,20000, 60 months,debt_consolidation,Low,9.99,B,18.45,424.85,Northern-Irl
6,MORTGAGE,Low,83000,15000, 36 months,credit_card,Low,6.91,A,10,462.54,cannught
4,MORTGAGE,Low,93000,5600, 36 months,credit_card,High,13.72,C,23.4,190.64,Northern-Irl
2,RENT,Low,100000,15000, 60 months,debt_consolidation,High,18.17,F,15.7,382.29,leinster
6,RENT,Low,24000,7000, 60 months,small_business,Low,9.62,B,12.8,147.43,ulster
2,RENT,Low,60000,20000, 60 months,debt_consolidation,Low,6.91,A,9.72,395.18,Northern-Irl
2,RENT,Low,31000,10000, 60 months,credit_card,Low,12.23,C,24.07,223.61,Northern-Irl
6.05,MORTGAGE,Low,47400,13500, 36 months,credit_card,Low,6.17,A,21.39,411.74,ulster
4,RENT,Low,65000,1300, 36 months,debt_consolidation,Low,6.54,A,20.19,39.87,Northern-Irl
7,MORTGAGE,Low,56331,10000, 36 months,debt_consolidation,Low,10.36,B,21.98,324.37,cannught
5,RENT,Low,55000,4500, 60 months,credit_card,Low,6.17,A,14.81,87.36,ulster
7,RENT,Low,30000,7200, 36 months,credit_card,Low,10.36,B,19.05,233.55,Northern-Irl
4,OWN,Low,48000,3000, 36 months,car,Low,5.79,A,11.15,90.99,Northern-Irl
10,RENT,Low,35000,4000, 36 months,debt_consolidation,High,13.35,C,14.26,135.46,leinster
4,RENT,Low,51996,3500, 36 months,debt_consolidation,Low,9.62,B,9.12,112.32,munster
10,MORTGAGE,Low,57000,9000, 36 months,credit_card,High,13.35,C,12.32,304.77,leinster
9,MORTGAGE,Medium,120000,12000, 36 months,debt_consolidation,Low,5.79,A,19.53,363.93,cannught
0.5,RENT,Low,48000,10000, 36 months,small_business,Low,9.25,B,5.6,319.17,leinster
5,RENT,Low,58000,14000, 36 months,debt_consolidation,Low,12.61,C,18.27,469.09,ulster
2,RENT,Low,30720,11000, 36 months,debt_consolidation,High,13.72,C,18.52,374.46,leinster
2,MORTGAGE,Low,61200,9600, 60 months,other,Low,8.88,B,7.25,198.73,ulster
1,RENT,Low,60000,9000, 36 months,debt_consolidation,High,14.46,D,0.8,309.62,munster
10,MORTGAGE,Medium,140000,12600, 36 months,house,Low,5.79,A,2.01,382.12,munster
6,MORTGAGE,Low,92040,10000, 36 months,credit_card,Low,6.54,A,10.07,306.68,ulster
3,RENT,Low,68803,2000, 36 months,moving,Low,6.17,A,18.35,61,ulster
7,MORTGAGE,Low,68399,10500, 36 months,credit_card,Low,6.91,A,11.91,323.78,ulster
4,RENT,Low,26500,5000, 60 months,debt_consolidation,High,17.06,E,0,124.43,ulster
3,RENT,Low,56000,3000, 36 months,debt_consolidation,Low,12.23,C,5.72,99.98,leinster
2,RENT,Low,75000,5000, 36 months,debt_consolidation,Low,5.79,A,7.52,151.64,ulster
10,RENT,Low,36000,7000, 36 months,debt_consolidation,High,13.72,C,14.43,238.3,ulster
6,MORTGAGE,Low,66888,15000, 36 months,other,Low,12.23,C,9.85,499.87,leinster
2,MORTGAGE,Medium,158400,25000, 60 months,car,Low,12.23,C,8.1,351.07,ulster
10,RENT,Low,30000,3000, 36 months,debt_consolidation,Low,9.62,B,2.2,96.27,cannught
0.5,RENT,Low,37500,4500, 36 months,other,Low,5.42,A,7.71,135.72,Northern-Irl
5,RENT,Low,24000,2225, 60 months,car,Low,5.79,A,9.8,42.8,ulster
7,MORTGAGE,Low,84996,6400, 60 months,car,High,15.57,D,22.83,154.18,leinster
4,RENT,Low,81996,15000, 36 months,debt_consolidation,High,14.09,D,8.03,513.33,ulster
3,OWN,Low,38004,3000, 36 months,major_purchase,High,13.35,C,7.74,101.59,cannught
4,OWN,Low,25000,4000, 36 months,debt_consolidation,Low,6.17,A,10.8,122,Northern-Irl
8,OWN,Low,46000,5025, 60 months,debt_consolidation,Low,10.36,B,13.88,107.66,leinster
10,MORTGAGE,Medium,150000,18000, 36 months,home_improvement,High,15.2,D,19.88,625.75,ulster
4,MORTGAGE,High,550000,18000, 36 months,home_improvement,Low,11.12,B,3.37,590.33,leinster
10,OWN,Low,39520,5000, 36 months,home_improvement,Low,5.79,A,0.46,151.64,Northern-Irl
1,RENT,Low,53800,7000, 36 months,debt_consolidation,Low,9.62,B,13.29,224.63,ulster
1,RENT,Medium,110000,12500, 36 months,credit_card,Low,9.62,B,5.13,401.12,ulster
10,MORTGAGE,Low,66000,7000, 60 months,car,Low,5.79,A,20.2,134.65,Northern-Irl
1,RENT,Low,30000,11450, 36 months,credit_card,Low,9.99,B,18.41,369.41,cannught
10,MORTGAGE,Low,100000,5400, 36 months,home_improvement,Low,12.23,C,11.99,179.96,leinster
6,RENT,Low,40000,5100, 36 months,car,High,13.72,C,18.24,173.62,leinster
0.5,OWN,Low,60000,10000, 60 months,debt_consolidation,Low,10.36,B,11.66,214.25,leinster
4,RENT,Low,27000,7000, 36 months,debt_consolidation,High,13.72,C,8.89,238.3,Northern-Irl
1,MORTGAGE,Low,47000,8500, 36 months,debt_consolidation,Low,9.99,B,14.14,274.24,Northern-Irl
3,MORTGAGE,Low,78540,10800, 60 months,debt_consolidation,High,15.57,D,14.09,260.18,ulster
6,RENT,Low,50000,12000, 60 months,credit_card,High,14.46,D,13.27,282.09,ulster
10,RENT,Low,89400,5000, 36 months,moving,High,15.2,D,21.1,173.82,ulster
5,MORTGAGE,Low,21600,2400, 60 months,renewable_energy,Low,12.61,C,12.5,54.13,leinster
0.5,RENT,Low,45600,7000, 36 months,debt_consolidation,Low,9.99,B,3.29,225.84,ulster
10,OWN,Low,79200,6600, 60 months,car,Low,6.17,A,1.91,128.12,munster
3,RENT,Low,44004,2400, 36 months,other,High,14.09,D,8.94,82.14,ulster
10,MORTGAGE,Low,55000,8000, 60 months,debt_consolidation,Low,12.61,C,10.95,180.44,munster
5,MORTGAGE,Low,65000,2000, 36 months,debt_consolidation,Low,9.62,B,23.52,64.18,leinster
2,MORTGAGE,Low,60612,18000, 36 months,debt_consolidation,High,13.72,C,6.36,612.76,ulster
0.5,RENT,Low,39996,3600, 60 months,debt_consolidation,High,15.95,E,2.07,87.45,ulster
3,RENT,Low,60000,12000, 36 months,major_purchase,Low,5.42,A,11.74,361.92,ulster
3,RENT,Low,69476,6500, 36 months,debt_consolidation,Low,6.17,A,13.56,198.25,leinster
8,MORTGAGE,Low,68000,10000, 36 months,debt_consolidation,Low,10.36,B,13.64,324.37,leinster
10,MORTGAGE,Medium,145000,14000, 60 months,home_improvement,Low,8.88,B,11.3,289.81,leinster
5,MORTGAGE,Medium,132000,25000, 36 months,debt_consolidation,Low,9.99,B,20.55,806.57,ulster
4,MORTGAGE,Low,37417,7000, 36 months,debt_consolidation,Low,10.36,B,11.19,227.06,leinster
6,MORTGAGE,Medium,108000,10000, 36 months,home_improvement,Low,6.54,A,8.16,306.68,Northern-Irl
4,RENT,Low,48000,2500, 36 months,vacation,High,13.35,C,11.97,84.66,Northern-Irl
4,MORTGAGE,Low,85000,5000, 36 months,home_improvement,Low,6.17,A,11.89,152.5,cannught
10,MORTGAGE,Low,74265,12000, 60 months,major_purchase,Low,5.79,A,10.65,230.83,Northern-Irl
9,OWN,Low,87504,7000, 36 months,debt_consolidation,Low,8.88,B,16.76,222.21,Northern-Irl
0.5,RENT,Low,60000,4000, 36 months,home_improvement,Low,7.88,A,0.35,125.13,Northern-Irl
7,RENT,Low,40080,2350, 36 months,car,Low,7.88,A,5.87,73.52,ulster
3,RENT,Low,30000,3000, 36 months,home_improvement,High,13.61,C,14.44,101.97,Northern-Irl
3,RENT,Low,38600,12000, 36 months,debt_consolidation,Low,10.38,B,19.71,389.36,munster
1,MORTGAGE,Medium,106000,25000, 36 months,home_improvement,High,17.56,E,14,898.31,cannught
4,RENT,Low,50000,4000, 60 months,debt_consolidation,High,17.93,E,6.14,101.43,Northern-Irl
3,RENT,Low,60000,8000, 60 months,medical,High,15.58,D,12.92,192.77,ulster
3,RENT,Medium,150000,25000, 60 months,debt_consolidation,Low,13.23,C,8.75,347.07,ulster
10,MORTGAGE,Medium,112000,6000, 60 months,small_business,High,13.98,C,23.68,139.55,munster
3,OWN,Low,60000,8700, 36 months,medical,High,15.58,D,4.3,304.07,Northern-Irl
3,RENT,Low,37500,2900, 36 months,debt_consolidation,High,15.58,D,13.12,101.36,leinster
3,MORTGAGE,Low,42000,7000, 36 months,debt_consolidation,High,14.84,D,17.46,242.11,ulster
2,RENT,Low,62000,13000, 36 months,medical,Low,6.91,A,15.41,346.91,munster
5,RENT,Low,42000,5000, 36 months,debt_consolidation,High,16.32,D,13.09,176.58,leinster
10,MORTGAGE,Low,38000,15000, 60 months,debt_consolidation,Low,6.91,A,16.23,180.3,Northern-Irl
10,MORTGAGE,Low,58000,21600, 36 months,debt_consolidation,Low,6.54,A,15.54,407.11,leinster
10,OWN,Medium,158000,20000, 60 months,debt_consolidation,Low,9.62,B,9.9,326.97,Northern-Irl
10,MORTGAGE,Medium,125000,20000, 60 months,credit_card,Low,9.99,B,11.97,290.49,ulster
6,MORTGAGE,Low,100000,20000, 60 months,home_improvement,Low,6.91,A,5.05,243.53,Northern-Irl
8,RENT,Low,91000,14000, 60 months,debt_consolidation,Low,12.61,C,13.81,199.61,munster
5,MORTGAGE,Low,30000,14000, 36 months,credit_card,Low,7.51,A,24.84,381.11,ulster
3,MORTGAGE,Low,64584,11975, 60 months,debt_consolidation,High,15.21,D,19.81,286.21,Northern-Irl
2,RENT,Low,89000,9600, 60 months,credit_card,Low,11.49,B,16.44,211.09,leinster
2,RENT,Low,45600,18250, 36 months,debt_consolidation,High,13.35,C,21.11,377.58,ulster
10,OWN,Low,89000,3000, 36 months,home_improvement,Low,6.76,A,20.45,92.31,Northern-Irl
7,RENT,Low,60000,9000, 36 months,car,High,13.61,C,17.62,305.9,cannught
1,MORTGAGE,Medium,120000,3000, 36 months,home_improvement,Low,6.39,A,1.3,91.8,leinster
3,RENT,Low,55000,20000, 36 months,debt_consolidation,Low,6.91,A,1.7,376.2,Northern-Irl
1,RENT,Low,70000,17500, 60 months,credit_card,Low,6.54,A,5.5,208.58,leinster
4,MORTGAGE,Low,79000,15000, 60 months,debt_consolidation,Low,11.86,B,5.09,332.61,cannught
5,RENT,Low,25000,9000, 36 months,debt_consolidation,Low,11.49,B,9.31,296.75,ulster
10,MORTGAGE,Low,57600,8500, 36 months,debt_consolidation,Low,7.14,A,9.67,263,ulster
10,MORTGAGE,Low,54996,1200, 36 months,other,High,14.35,C,24.48,41.22,leinster
6,RENT,Low,35520,13300, 60 months,debt_consolidation,High,17.56,E,20.44,334.56,ulster
7,RENT,Low,41000,14400, 60 months,debt_consolidation,High,13.98,C,22.57,212.23,leinster
6,RENT,Low,25000,8000, 60 months,debt_consolidation,High,13.61,C,15.61,184.54,cannught
10,MORTGAGE,Medium,120000,20000, 60 months,credit_card,High,16.82,E,15.69,311.93,Northern-Irl
5,RENT,Low,33600,15000, 60 months,small_business,Low,12.61,C,8.04,218.78,ulster
1,MORTGAGE,Low,65004,14000, 60 months,debt_consolidation,Low,12.61,C,13.88,190.59,leinster
10,MORTGAGE,Low,45943,15000, 60 months,home_improvement,Low,6.17,A,9.06,175.68,leinster
0.5,RENT,Low,75600,25000, 36 months,credit_card,Low,9.99,B,3.57,495.23,Northern-Irl
10,MORTGAGE,Low,54000,6000, 36 months,debt_consolidation,Low,7.14,A,8.91,185.65,Northern-Irl
4,RENT,Low,57600,12000, 60 months,medical,Low,11.86,B,1.05,266.09,Northern-Irl
0.5,MORTGAGE,Low,59000,10000, 36 months,small_business,Low,7.51,A,0.71,311.11,ulster
4,MORTGAGE,Low,31200,8400, 36 months,debt_consolidation,Low,7.51,A,11.35,261.34,ulster
2,RENT,Low,40000,7200, 60 months,debt_consolidation,Low,6.17,A,12.45,87.84,leinster
3,RENT,Low,50000,12000, 36 months,debt_consolidation,Low,11.86,B,21.26,397.77,Northern-Irl
2,MORTGAGE,Medium,133900,15000, 60 months,home_improvement,High,15.95,E,10.69,239.88,Northern-Irl
3,RENT,Low,48980,24000, 60 months,debt_consolidation,Low,12.23,C,2.89,337.65,Northern-Irl
9,MORTGAGE,Low,85000,20000, 36 months,car,Low,10.38,B,7.86,648.92,ulster
6,MORTGAGE,Low,81000,5000, 36 months,credit_card,Low,10.75,B,7.85,163.11,ulster
9,MORTGAGE,Low,33800,14400, 36 months,credit_card,Low,7.88,A,17.82,450.45,leinster
8,MORTGAGE,Medium,180415,18000, 60 months,debt_consolidation,Low,6.17,A,2.71,211.11,ulster
3,RENT,Low,45000,19000, 60 months,debt_consolidation,High,16.69,E,19.97,295.01,Northern-Irl
10,MORTGAGE,Low,56655,20000, 36 months,debt_consolidation,High,13.61,C,1,679.78,cannught
10,MORTGAGE,Medium,115000,25000, 60 months,debt_consolidation,Low,10.36,B,8.15,434.39,Northern-Irl
2,MORTGAGE,Low,21403,2100, 36 months,home_improvement,Low,11.12,B,9.42,68.88,cannught
5,RENT,Low,72000,19000, 60 months,debt_consolidation,Low,8.88,B,18.18,237.54,Northern-Irl
1,RENT,Low,26592,2500, 36 months,debt_consolidation,Low,7.14,A,3.61,77.36,Northern-Irl
1,MORTGAGE,Low,100000,12000, 36 months,debt_consolidation,Low,6.91,A,2.86,237.44,cannught
4,MORTGAGE,Low,46800,3600, 36 months,home_improvement,Low,7.14,A,22.26,111.39,munster
10,MORTGAGE,Medium,110000,25000, 60 months,debt_consolidation,High,21.14,G,22.41,412.41,leinster
5,RENT,Low,30000,15250, 60 months,other,High,17.56,E,14.68,383.61,Northern-Irl
3,RENT,Low,32960,15000, 36 months,debt_consolidation,Low,6.91,A,19.88,329.95,cannught
10,MORTGAGE,Low,42000,15000, 60 months,small_business,Low,8.88,B,1.31,197.17,Northern-Irl
0.5,MORTGAGE,Medium,136000,4800, 36 months,debt_consolidation,High,14.72,C,20.9,165.74,ulster
6,RENT,Low,64000,16000, 60 months,other,Low,6.54,A,2.34,189,Northern-Irl
8,MORTGAGE,Low,91985,16000, 60 months,other,Low,6.54,A,6.51,188.51,ulster
0.5,RENT,Low,50000,14000, 36 months,credit_card,Low,6.54,A,9.34,276.01,ulster
2,RENT,Low,40000,15000, 36 months,debt_consolidation,Low,6.17,A,18.6,279.07,cannught
5,RENT,Low,47360,4500, 36 months,car,High,15.58,D,5.37,157.28,cannught
8,RENT,Low,75000,9000, 60 months,moving,Low,6.54,A,12.3,107.23,Northern-Irl
10,OWN,Low,60000,20000, 60 months,debt_consolidation,Low,6.54,A,12.36,241.88,Northern-Irl
1,RENT,Low,36072,16000, 60 months,other,Low,6.91,A,18.23,189.69,leinster
10,MORTGAGE,Low,65000,12000, 60 months,debt_consolidation,Low,8.88,B,16.1,178.03,Northern-Irl
2,RENT,Low,31500,4650, 36 months,credit_card,Low,13.23,C,11.77,157.2,munster
0.5,RENT,Medium,170000,16000, 36 months,major_purchase,Low,5.79,A,11.52,331.33,ulster
0.5,MORTGAGE,Low,84000,12600, 60 months,car,Low,10.75,B,11.74,272.39,Northern-Irl
8,MORTGAGE,Low,85000,23100, 60 months,credit_card,High,16.45,E,12.54,356.71,leinster
0.5,MORTGAGE,Low,68000,25000, 60 months,small_business,Low,11.86,B,12.56,554.35,Northern-Irl
10,MORTGAGE,Low,99000,15000, 36 months,debt_consolidation,Low,6.17,A,7.67,375.91,Northern-Irl
4,RENT,Low,22100,8000, 36 months,other,Low,13.23,C,17.65,270.44,Northern-Irl
0.5,RENT,Low,19992,7750, 60 months,debt_consolidation,High,15.21,D,16.87,185.23,leinster
10,MORTGAGE,Low,40000,25000, 60 months,home_improvement,Low,10.36,B,16.26,336.37,ulster
6,MORTGAGE,Medium,115000,17000, 60 months,debt_consolidation,Low,6.91,A,12.74,214.88,Northern-Irl
0.5,RENT,Low,65000,25000, 60 months,debt_consolidation,Low,12.61,C,24.57,339.44,Northern-Irl
5,RENT,Low,35000,12000, 60 months,debt_consolidation,Low,6.91,A,18.24,146.22,Northern-Irl
6,RENT,Low,64000,12800, 36 months,credit_card,High,14.35,C,19.11,439.66,munster
6.05,MORTGAGE,Medium,130674,10500, 60 months,credit_card,High,18.67,F,22.14,270.48,cannught
6,MORTGAGE,Low,60000,5000, 36 months,small_business,Low,13.23,C,5.66,169.03,ulster
3,MORTGAGE,Low,88500,12000, 36 months,major_purchase,Low,7.51,A,8.39,373.33,leinster
0.5,RENT,Low,45000,22400, 36 months,credit_card,High,14.72,C,7.79,635.33,ulster
7,MORTGAGE,Medium,102000,18000, 60 months,wedding,High,15.58,D,16.67,433.72,munster
10,RENT,Low,70000,9500, 36 months,debt_consolidation,Low,6.76,A,6.24,292.3,Northern-Irl
2,RENT,Low,21552,7500, 60 months,car,Low,11.49,B,4.57,164.91,Northern-Irl
2,RENT,Low,30000,4800, 36 months,moving,High,14.84,D,0,166.02,ulster
10,OWN,Low,24300,4000, 60 months,major_purchase,High,13.61,C,0.74,92.27,leinster
10,RENT,High,590000,8400, 60 months,debt_consolidation,High,15.21,D,1.81,200.77,cannught
0.5,MORTGAGE,Low,64488,9000, 60 months,home_improvement,Low,7.88,A,8.86,181.98,leinster
5,RENT,Low,45000,2400, 36 months,other,Low,13.23,C,11.39,81.14,ulster
6,RENT,Low,50000,15000, 60 months,debt_consolidation,Low,11.86,B,19.08,314.32,Northern-Irl
5,RENT,Low,36000,4500, 36 months,debt_consolidation,Low,7.14,A,24.15,139.24,munster
10,MORTGAGE,Medium,132492,25000, 60 months,small_business,Low,11.86,B,16.59,348.13,ulster
6,MORTGAGE,Low,60000,14400, 60 months,major_purchase,High,16.82,E,4.68,266.75,cannught
5,MORTGAGE,Low,84780,18000, 36 months,home_improvement,Low,7.51,A,5.55,560,leinster
5,RENT,Low,90000,7500, 36 months,major_purchase,High,15.58,D,14.95,262.13,Northern-Irl
6,RENT,Low,70000,6500, 36 months,credit_card,Low,13.23,C,6.53,219.74,Northern-Irl
8,MORTGAGE,Medium,117000,6000, 36 months,home_improvement,Low,7.51,A,22.5,186.67,leinster
10,MORTGAGE,Medium,175000,25000, 60 months,credit_card,Low,13.23,C,13.15,571.78,munster
1,RENT,Low,32004,24250, 36 months,debt_consolidation,Low,11.12,B,9.86,493.58,leinster
0.5,RENT,Low,58000,6400, 60 months,debt_consolidation,High,17.19,E,15.64,159.72,ulster
10,MORTGAGE,Low,80000,25000, 60 months,debt_consolidation,Low,13.23,C,20.11,361.94,munster
10,RENT,Low,67114,20000, 60 months,debt_consolidation,High,20.53,G,4.49,535.8,Northern-Irl
0.5,RENT,Low,35000,10000, 36 months,debt_consolidation,High,17.93,E,17.76,361.18,munster
3,RENT,Medium,175000,20000, 36 months,debt_consolidation,High,14.72,C,6.82,690.57,Northern-Irl
10,MORTGAGE,Low,93000,12000, 60 months,debt_consolidation,High,15.95,D,15.14,291.5,munster
0.5,RENT,Low,62000,10000, 36 months,debt_consolidation,High,16.82,E,15.81,355.64,ulster
2,RENT,Low,63000,15000, 60 months,debt_consolidation,High,15.58,D,13.96,361.44,ulster
10,RENT,Low,57829,17500, 60 months,debt_consolidation,High,19.41,F,21.54,457.92,munster
6,RENT,Low,33900,10000, 36 months,debt_consolidation,High,15.58,D,12.21,349.51,cannught
3,RENT,Low,27398,5500, 60 months,credit_card,Low,13.23,C,24.84,125.8,leinster
2,OWN,Low,36000,13750, 60 months,debt_consolidation,High,16.32,D,21.77,336.72,Northern-Irl
2,RENT,Low,88000,10000, 60 months,credit_card,High,13.61,C,11.14,230.67,Northern-Irl
6,MORTGAGE,High,576000,5000, 60 months,renewable_energy,High,16.82,E,1.18,123.78,leinster
10,RENT,Low,24000,6000, 60 months,debt_consolidation,High,20.16,G,4.5,159.5,leinster
2,MORTGAGE,Low,36000,12000, 36 months,other,Low,7.51,A,4.07,373.33,ulster
8,MORTGAGE,Low,66360,7000, 36 months,debt_consolidation,Low,11.86,B,13.44,232.04,leinster
6,RENT,Low,21600,7000, 36 months,major_purchase,High,13.98,C,9.17,239.18,leinster
7,MORTGAGE,Low,63655,9925, 36 months,debt_consolidation,High,15.58,D,15.35,346.88,munster
3,RENT,Low,30000,3000, 36 months,debt_consolidation,Low,11.12,B,2.36,98.39,leinster
0.5,RENT,Low,21600,5200, 36 months,debt_consolidation,Low,11.86,B,17.5,172.37,ulster
10,OWN,Low,33600,4000, 36 months,major_purchase,Low,6.39,A,9.64,122.4,leinster
10,MORTGAGE,Low,52800,1925, 36 months,car,Low,6.76,A,15.27,59.23,cannught
4,MORTGAGE,Low,100000,13500, 36 months,credit_card,Low,7.51,A,14.26,420,cannught
3,RENT,Low,60000,20000, 60 months,debt_consolidation,Low,11.86,B,11.68,376.4,Northern-Irl
3,RENT,Low,53000,13000, 60 months,debt_consolidation,High,17.19,E,24.54,324.42,ulster
6,MORTGAGE,Low,79200,8000, 36 months,debt_consolidation,Low,7.88,A,19.26,250.25,munster
5,OWN,Low,50000,5000, 36 months,debt_consolidation,Low,7.14,A,11.4,154.71,Northern-Irl
10,MORTGAGE,Medium,110000,3000, 36 months,home_improvement,Low,7.51,A,19.91,93.34,Northern-Irl
4,RENT,Low,26400,6000, 60 months,vacation,High,15.21,D,23.65,143.41,leinster
3,MORTGAGE,Low,35000,3500, 36 months,home_improvement,High,13.61,C,16.8,118.96,Northern-Irl
8,MORTGAGE,Low,39900,5400, 60 months,home_improvement,Low,7.88,A,8.25,109.19,Northern-Irl
9,MORTGAGE,Low,42000,13000, 60 months,debt_consolidation,High,16.82,E,24.66,321.83,leinster
4,RENT,Low,72000,4800, 36 months,debt_consolidation,Low,11.86,B,14.92,159.11,ulster
4,RENT,Low,8004,3000, 36 months,car,Low,7.88,A,8.7,93.85,munster
8,RENT,Low,52000,18000, 60 months,debt_consolidation,Low,11.86,B,24.72,341.48,munster
5,MORTGAGE,Low,66352,7000, 36 months,debt_consolidation,Low,7.88,A,8.25,218.97,cannught
10,MORTGAGE,Medium,150000,25000, 36 months,credit_card,High,21.27,G,8.33,945.35,ulster
6,MORTGAGE,Low,33000,12000, 36 months,debt_consolidation,Low,7.51,A,12.22,373.33,leinster
6.05,MORTGAGE,Medium,120000,10000, 36 months,home_improvement,Low,7.88,A,0.88,312.82,munster
10,MORTGAGE,Low,55000,15000, 60 months,major_purchase,High,13.98,C,5.11,267.47,Northern-Irl
10,RENT,Low,56524,22000, 36 months,debt_consolidation,Low,10.75,B,24.1,717.65,leinster
2,MORTGAGE,Low,99996,4800, 36 months,home_improvement,Low,11.49,B,9.89,158.27,leinster
4,RENT,Low,68496,21600, 60 months,debt_consolidation,High,18.3,F,14.42,552.03,cannught
5,MORTGAGE,Low,26004,5800, 60 months,debt_consolidation,High,19.79,F,13.29,152.99,Northern-Irl
10,RENT,Low,30000,6000, 36 months,small_business,High,14.72,C,21.4,207.18,leinster
4,RENT,Low,35000,4000, 36 months,small_business,Low,7.51,A,15.53,124.45,Northern-Irl
4,MORTGAGE,Medium,115000,4000, 36 months,debt_consolidation,Low,7.88,A,12.3,125.13,leinster
10,MORTGAGE,Medium,115900,12000, 36 months,credit_card,Low,7.88,A,1.92,375.38,leinster
10,MORTGAGE,Medium,102200,25000, 60 months,debt_consolidation,Low,11.86,B,23.68,396.92,leinster
10,RENT,Low,27000,6000, 36 months,small_business,Low,11.86,B,14.22,198.89,cannught
6,MORTGAGE,Low,42000,9250, 36 months,debt_consolidation,Low,11.12,B,24.09,303.36,ulster
10,RENT,Low,39672,16750, 36 months,debt_consolidation,High,13.98,C,20.08,572.32,cannught
2,MORTGAGE,Low,51492,13800, 36 months,debt_consolidation,Low,10.38,B,20.18,447.76,ulster
10,MORTGAGE,Low,38400,10000, 36 months,home_improvement,High,15.21,D,23.47,347.69,ulster
7,RENT,Low,49500,5600, 60 months,debt_consolidation,High,16.32,D,22.69,137.14,ulster
0.5,OWN,Low,75000,10000, 36 months,small_business,Low,7.88,A,10.4,312.82,ulster
5,RENT,Low,70000,12000, 60 months,credit_card,High,18.67,F,13.25,309.12,leinster
2,MORTGAGE,Low,55000,20000, 60 months,debt_consolidation,Low,11.86,B,14.38,275.51,cannught
10,RENT,Low,77004,20000, 36 months,debt_consolidation,High,13.98,C,16.6,683.36,Northern-Irl
2,RENT,Low,22800,4550, 60 months,car,High,17.19,E,16.11,113.55,ulster
10,RENT,Low,50400,19000, 60 months,debt_consolidation,High,16.45,E,22.14,466.6,ulster
4,RENT,Low,19800,7200, 60 months,major_purchase,High,16.32,D,12.67,176.32,ulster
10,RENT,Low,90000,15000, 36 months,debt_consolidation,Low,11.12,B,3.28,491.94,Northern-Irl
10,MORTGAGE,Medium,105000,12750, 36 months,home_improvement,High,15.95,D,10.59,447.94,Northern-Irl
0.5,RENT,Low,18000,1000, 36 months,moving,High,14.84,D,0,34.59,Northern-Irl
9,MORTGAGE,Low,34000,6000, 36 months,vacation,Low,6.76,A,24.25,184.61,munster
10,MORTGAGE,Low,26004,12000, 36 months,debt_consolidation,Low,7.88,A,7.34,375.38,leinster
10,RENT,Low,35004,1100, 60 months,debt_consolidation,High,15.58,D,2.09,26.51,Northern-Irl
7,RENT,High,200004,2500, 36 months,other,High,13.61,C,9.31,84.98,Northern-Irl
8,MORTGAGE,Low,57000,19750, 60 months,debt_consolidation,Low,11.86,B,14.55,292.14,cannught
6,MORTGAGE,Low,80000,16000, 36 months,moving,Low,7.88,A,2.94,363.65,munster
10,RENT,Low,38400,3600, 36 months,vacation,High,13.61,C,4.84,122.36,ulster
10,MORTGAGE,Low,60822,16800, 60 months,debt_consolidation,High,16.45,E,19.95,330.31,Northern-Irl
3,RENT,Low,42000,2000, 36 months,debt_consolidation,Low,10.38,B,16.66,64.9,Northern-Irl
